Id,Probability
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,1
415,1
416,0
417,0
418,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1200,0
1201,1
1202,1
1203,0
1204,1
1205,0
1206,0
1207,1
1208,0
1209,0
1210,0
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2700,1
2701,0
2702,0
2703,0
2704,0
2705,0
2706,1
2707,1
2708,0
2709,1
2710,1
2711,0
2712,0
2713,0
2714,1
2715,0
2716,0
2717,0
2718,1
2800,0
2801,0
2802,1
2803,0
2804,0
2805,1
2806,1
2807,1
2808,1
2809,1
2810,1
2811,0
2812,1
2813,0
2814,0
2815,1
2816,0
2817,0
2818,1
2900,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2914,0
2915,0
2916,0
2917,0
2918,0
3000,0
3001,1
3002,0
3003,0
3004,1
3005,0
3006,0
3007,0
3008,0
3009,1
3010,1
3011,0
3012,1
3013,0
3014,0
3015,0
3016,0
3017,1
3018,1
3100,0
3101,1
3102,0
3103,0
3104,0
3105,0
3106,0
3107,1
3108,0
3109,0
3110,0
3111,0
3112,1
3113,0
3114,0
3115,1
3116,0
3117,1
3118,0
3200,0
3201,0
3202,0
3203,0
3204,0
3205,0
3206,0
3207,0
3208,0
3209,0
3210,0
3211,0
3212,0
3213,0
3214,0
3215,0
3216,1
3217,0
3218,1
3300,0
3301,0
3302,0
3303,0
3304,0
3305,0
3306,0
3307,1
3308,0
3309,0
3310,0
3311,0
3312,1
3313,0
3314,0
3315,1
3316,0
3317,1
3318,1
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3406,0
3407,0
3408,0
3409,0
3410,0
3411,0
3412,0
3413,0
3414,0
3415,0
3416,0
3417,0
3418,0
3700,0
3701,0
3702,0
3703,0
3704,0
3705,0
3706,0
3707,0
3708,0
3709,0
3710,0
3711,0
3712,0
3713,0
3714,0
3715,0
3716,0
3717,0
3718,0
4000,0
4001,0
4002,0
4003,0
4004,0
4005,0
4006,0
4007,0
4008,0
4009,0
4010,0
4011,0
4012,0
4013,0
4014,0
4015,0
4016,1
4017,0
4018,1
4100,0
4101,0
4102,1
4103,1
4104,0
4105,1
4106,1
4107,1
4108,1
4109,0
4110,0
4111,0
4112,1
4113,0
4114,0
4115,0
4116,0
4117,0
4118,1
4200,0
4201,0
4202,0
4203,0
4204,0
4205,0
4206,0
4207,0
4208,0
4209,0
4210,0
4211,0
4212,0
4213,0
4214,0
4215,0
4216,0
4217,0
4218,0
4400,0
4401,1
4402,1
4403,0
4404,1
4405,1
4406,1
4407,0
4408,0
4409,1
4410,0
4411,0
4412,0
4413,0
4414,0
4415,1
4416,1
4417,1
4418,0
4700,0
4701,0
4702,0
4703,0
4704,0
4705,0
4706,0
4707,0
4708,0
4709,0
4710,1
4711,0
4712,1
4713,1
4714,1
4715,1
4716,1
4717,1
4718,1
4800,0
4801,0
4802,0
4803,0
4804,0
4805,0
4806,0
4807,0
